t1,st2,local_name,percent,numpeo,cx,cy
運動體育類,關注體育：賽車者,北投區中央里,0.0640531276778,598.0,121.498536111,25.1295064815
美食戶外旅遊類,關注戶外休閒者,北投區中央里,0.404791262991,4596.0,121.498536111,25.1295064815
運動體育類,關注體育：水上運動者,北投區中央里,0.125945066514,1316.0,121.498536111,25.1295064815
寵物生活類,關注狗寵物者,北投區中央里,0.347278492161,3943.0,121.498536111,25.1295064815
運動體育類,關注體育：游泳者,北投區中央里,0.0431715918764,355.0,121.498536111,25.1295064815
影視娛樂類,關注日本電視節目者,北投區中央里,0.315835828783,3586.0,121.498536111,25.1295064815
美食戶外旅遊類,關注台式料理者,北投區中央里,0.0800128534704,747.0,121.498536111,25.1295064815
影視娛樂類,關注影視娛樂訊息者,北投區中央里,0.392813105513,4460.0,121.498536111,25.1295064815
影視娛樂類,關注日本音樂者,北投區中央里,0.328870882508,3734.0,121.498536111,25.1295064815
運動體育類,關注體育：高爾夫球者,北投區中央里,0.0170811697185,125.0,121.498536111,25.1295064815
影視娛樂類,關注古典樂者,北投區中央里,0.0498502730315,566.0,121.498536111,25.1295064815
身體保健類,關注口腔牙齒美容者,北投區中央里,0.0825835475578,771.0,121.498536111,25.1295064815
寵物生活類,關注水族寵物者,北投區中央里,0.292936410076,3326.0,121.498536111,25.1295064815
文化展覽類,關注展覽訊息者,北投區中央里,0.0247894674416,209.0,121.498536111,25.1295064815
運動體育類,關注體育：棒球者,北投區中央里,0.471023427867,5348.0,121.498536111,25.1295064815
影視娛樂類,關注電影者,北投區泉源里,0.471231115397,1466.0,121.520807335,25.1531582834
影視娛樂類,關注古典樂者,北投區泉源里,0.0535008976661,149.0,121.520807335,25.1531582834
文化展覽類,關注展覽訊息者,北投區泉源里,0.0219030520646,61.0,121.520807335,25.1531582834
文化展覽類,關注文化藝術訊息者,北投區泉源里,0.192864030858,600.0,121.520807335,25.1531582834
影視娛樂類,關注歐美電視節目者,北投區泉源里,0.415943426551,1294.0,121.520807335,25.1531582834
